,KNN,MICE,MissForest,PMM,EM,SoftImpute,NMF,DAE,VAE
KNN,1.0,0.5629977005075644,0.6208344982012056,0.5449374340627575,0.5632591407984258,0.5091461688996612,0.5610879641190742,0.5570939172811462,0.5650594642279092
MICE,0.5629977005075644,1.0,0.7497282999367272,0.7523304776782128,0.8194129456181491,0.6888227680890557,0.7471734052649449,0.7966465262885581,0.7798366968056363
MissForest,0.6208344982012056,0.7497282999367272,1.0,0.7376876539712237,0.7713293516835239,0.6490368880077967,0.7262239891545793,0.7639909105929305,0.7573387973054588
PMM,0.5449374340627575,0.7523304776782128,0.7376876539712237,1.0,0.7742220588406852,0.6498017545547489,0.7649136959481752,0.7795939886046265,0.7439078782848685
EM,0.5632591407984258,0.8194129456181491,0.7713293516835239,0.7742220588406852,1.0,0.6788938713229501,0.7542720668444434,0.8797973807494825,0.8278695258329349
SoftImpute,0.5091461688996612,0.6888227680890557,0.6490368880077967,0.6498017545547489,0.6788938713229501,1.0,0.676496158098078,0.6968730965785516,0.7030510157400696
NMF,0.5610879641190742,0.7471734052649449,0.7262239891545793,0.7649136959481752,0.7542720668444434,0.676496158098078,1.0,0.7456497840247873,0.7275801907736364
DAE,0.5570939172811462,0.7966465262885581,0.7639909105929305,0.7795939886046265,0.8797973807494825,0.6968730965785516,0.7456497840247873,1.0,0.8634708201669984
VAE,0.5650594642279092,0.7798366968056363,0.7573387973054588,0.7439078782848685,0.8278695258329349,0.7030510157400696,0.7275801907736364,0.8634708201669984,1.0
