,cluster,silhouette
0,2,0.5890799164772034
1,0,0.45715853571891785
2,0,0.6240097284317017
4,2,0.5641366839408875
5,2,0.5742460489273071
6,0,0.5247029066085815
7,0,0.5002318024635315
8,1,0.6398673057556152
9,0,0.5000814199447632
10,1,0.6668694615364075
11,0,0.46915119886398315
12,0,0.6973873972892761
13,0,0.6664475202560425
14,2,0.5792072415351868
15,1,0.5658079385757446
17,1,0.6804455518722534
18,1,0.6778448820114136
19,2,0.07096365839242935
21,2,0.05106209218502045
22,2,-0.18872012197971344
23,2,0.1554863601922989
24,1,0.6194341778755188
28,1,0.6320203542709351
29,2,0.504672646522522
30,1,0.6599881649017334
31,1,0.5346590280532837
32,0,0.7069945335388184
33,2,0.4452054798603058
34,2,-0.018784770742058754
35,0,0.6563211679458618
36,2,0.4778544306755066
37,1,0.6801274418830872
38,0,0.6474636793136597
39,0,0.6567463278770447
40,2,0.5792864561080933
41,2,0.42496630549430847
42,0,0.6447020769119263
43,0,0.6651849150657654
44,0,0.7179210782051086
45,0,0.7163704633712769
46,2,0.101544588804245
47,2,0.4376274049282074
48,0,0.6516244411468506
49,0,0.6574941873550415
50,0,0.47897210717201233
51,0,0.46849870681762695
52,1,0.6098325848579407
53,1,0.578969419002533
54,2,0.5703665018081665
55,2,0.576360821723938
56,2,0.1388150006532669
57,2,0.1675221025943756
58,0,0.6972774863243103
59,0,0.6811667084693909
60,0,0.4652402698993683
61,1,0.6702657341957092
62,2,0.4831787347793579
63,1,0.5096438527107239
65,2,0.4844161570072174
66,2,0.5260499119758606
67,0,0.6317136287689209
68,2,0.012629793025553226
69,2,0.4798833727836609
70,2,0.0170586034655571
71,0,0.6699671745300293
72,0,0.6714538335800171
73,2,0.5903988480567932
74,0,0.6483490467071533
75,0,0.7092773914337158
76,0,0.7095261812210083
77,2,0.5398117899894714
78,0,0.6532279849052429
79,0,0.6726131439208984
80,0,0.6537026762962341
81,0,0.6934230923652649
82,1,0.6445419192314148
83,1,0.6450541615486145
85,0,0.6466982960700989
86,2,0.5299414396286011
87,0,0.5910460948944092
88,1,0.6407374143600464
90,0,0.6059080958366394
91,1,0.5333956480026245
92,2,0.5975486636161804
93,2,0.469256728887558
94,1,0.546438455581665
95,2,0.1599830538034439
96,0,0.6896365284919739
97,0,0.6896222233772278
99,2,0.5420936346054077
100,0,0.67152339220047
101,0,0.6696752905845642
102,0,0.6695309281349182
103,0,0.6757654547691345
104,0,0.6888796091079712
105,0,0.43548455834388733
106,0,0.6867527365684509
107,0,0.635418176651001
108,0,0.6777898073196411
109,0,0.06814827024936676
111,2,0.5034518837928772
112,1,0.6774318218231201
113,2,0.5929082632064819
114,2,0.5480316281318665
116,0,0.6277074217796326
117,2,0.49325281381607056
118,1,0.6295570135116577
119,2,0.4788789749145508
120,0,0.5290905833244324
121,0,0.5229059457778931
122,0,0.5878556370735168
123,0,0.558155357837677
124,2,0.4312833249568939
125,0,0.5942627191543579
126,0,0.10778623074293137
127,2,0.5143786668777466
128,0,0.5752903819084167
129,2,0.4718238413333893
130,2,0.4722568392753601
131,0,0.5005205869674683
132,0,0.5629104971885681
133,2,0.3725096881389618
134,2,0.46212080121040344
135,0,0.5132139325141907
136,0,0.4914434254169464
137,2,0.4640553891658783
138,0,0.6848140358924866
139,0,0.5441744923591614
140,0,0.5051138401031494
141,0,0.5052632689476013
142,0,0.4789544939994812
143,0,0.47756335139274597
144,0,0.5237842202186584
145,0,0.5236007571220398
146,0,0.4814610481262207
147,0,0.48049044609069824
148,2,0.540458083152771
149,2,0.5403469800949097
150,2,0.5852282047271729
151,0,0.5876442193984985
152,2,0.2989857792854309
153,2,0.5081065893173218
154,1,0.6258887648582458
155,1,0.6281796097755432
156,2,0.4081111252307892
157,2,0.4134463369846344
158,2,0.46659016609191895
159,2,0.5460525155067444
160,2,0.5455613136291504
161,2,0.5905792713165283
162,2,0.5892714858055115
163,2,0.18494641780853271
165,2,0.2966044843196869
168,2,-0.025928109884262085
169,0,0.6544387340545654
170,2,0.5069715976715088
171,2,0.3880815804004669
172,1,0.6486353874206543
173,1,0.43752798438072205
174,2,0.5530415177345276
175,2,0.11008268594741821
176,2,0.10571013391017914
177,2,0.41574880480766296
178,0,0.059357233345508575
179,0,0.7019287347793579
180,2,-0.019041001796722412
181,0,0.5809022188186646
182,2,0.4465988576412201
183,2,0.4971361756324768
184,2,0.4170322120189667
186,1,0.6721484065055847
187,1,0.542718768119812
188,1,0.5237239599227905
189,1,0.5686318278312683
190,1,0.5308433771133423
194,1,0.662493109703064
195,2,0.5336715579032898
196,0,0.6369640827178955
197,2,0.15036238729953766
198,0,0.5901452898979187
199,2,0.1675182431936264
201,1,0.48167234659194946
202,1,0.665208637714386
203,1,0.5607514381408691
204,2,0.07449187338352203
205,1,0.5031939148902893
206,0,0.644097626209259
207,2,0.46928897500038147
208,1,0.5231196284294128
211,1,0.5192022919654846
212,1,0.5235602259635925
213,1,0.5401377081871033
216,1,0.6685613989830017
218,1,0.6637588739395142
219,2,0.5744584798812866
220,2,0.5513947010040283
221,1,0.4816761016845703
222,2,0.5696571469306946
223,2,-0.0655326396226883
224,0,0.6355888843536377
225,2,0.48887935280799866
226,0,0.6383069753646851
227,2,0.3038550913333893
228,1,0.5832216143608093
229,2,0.5904789566993713
230,2,0.5161367058753967
231,0,0.5924390554428101
232,2,0.38510119915008545
233,0,0.60518479347229
235,2,0.5956662893295288
236,2,0.43591395020484924
239,2,0.5425000190734863
240,0,0.6694329977035522
241,2,0.5482298135757446
242,0,0.6866538524627686
243,2,0.43916571140289307
244,2,0.4295254349708557
245,2,0.5616769790649414
246,2,0.47973889112472534
247,2,0.5179433226585388
248,0,0.04568862542510033
249,2,0.5505297183990479
250,1,0.665288507938385
251,0,0.6240009665489197
252,2,0.37137866020202637
253,0,0.6702138781547546
