metric,pooled,se_between,ci_lo,ci_hi,values
silhouette,-0.004342956396294013,0.057002655158085655,-0.16260769929323868,0.15392178650065066,"-0.0578,0.0644,0.0242,-0.0534,0.0009"
chi2,1514.703988275213,333.0935515424499,589.8880275222291,2439.519949028197,"1068.5788,1752.3436,1606.9112,1795.4133,1350.2730"
cramers_v,0.15432707039694607,0.037795974309431865,0.049388622529342424,0.2592655182645497,"0.1433,0.1298,0.2152,0.1439,0.1395"
gap,0.05035793625794706,0.002681445082666871,0.04291305118331993,0.05780282133257419,"0.0473,0.0504,0.0540,0.0494,0.0507"
