fold,n_test,baseline_log_loss,augmented_log_loss,baseline_accuracy,augmented_accuracy,baseline_macro_f1,augmented_macro_f1
1,3471,0.6021580269928668,0.601267728307119,0.7781619129933737,0.7781619129933737,0.48448042094034927,0.48448042094034927
2,3470,0.6055758982046711,0.6065642435033967,0.7778097982708934,0.7778097982708934,0.47962623221372513,0.47962623221372513
3,3469,0.6086684820132102,0.606908796742143,0.7760161429806861,0.7760161429806861,0.4661407523920327,0.4661407523920327
4,3469,0.6085661121127758,0.6036752925804458,0.7763044104929374,0.7763044104929374,0.46930843489010254,0.46930843489010254
5,3468,0.6068290252063827,0.6068739015415322,0.777681660899654,0.7768166089965398,0.48042258290683043,0.49248038208624295
