cluster,count,mean,std,min,25%,50%,75%,max
0,6725.0,1045.6159534231722,2119.9588176457655,0.7195949074084638,108.54447916666686,214.47033564814774,822.5253240740712,22096.511030092595
1,4353.0,751.7270182414638,1755.099862059929,1.4736574074049713,89.67582175925781,171.5593402777813,424.765196759261,16851.499872685185
2,6328.0,820.7107251007428,1812.5285386434728,0.9344444444432156,93.64673611110993,187.65309606481605,558.8423292824064,21352.616365740738
